offense_team_name,defense_team_name,season,week,play_uuid,game_id,drive_uuid,play_game_index,play_drive_index,play_quarter,play_quarter_clock_remaining,play_clock_paused,play_start_event_index,play_end_event_index,play_offense_team_id,play_defense_team_id,play_offense_is_home_team,play_down,play_yards_to_go,play_yardline,play_start_position,play_home_score,play_away_score,play_home_timeouts_remaining,play_away_timeouts_remaining,play_box_players,play_defensive_back_depths,play_linebacker_depths,play_shotgun,play_pre_snap_motion,play_snap_hurried,play_success,play_first_down_won,play_touchdown_won,play_yards_net,play_points_won,play_type,play_included_fake,play_qb_pressure,play_qb_hit,play_qb_sacked,play_pass_yards_air,play_pass_yards_after_catch,play_pass_outcome,play_pass_dropped,play_pass_intercepted,play_pass_interception_dropped,play_time_to_pass,play_pass_batted,play_yards_run,play_penalty_yards,play_penalty_first_down,play_penalty_down_loss,play_penalty_offset,play_return_yards,play_field_goal_result,play_extra_point_result,play_kick_yards,play_kick_hangtime,play_kick_blocked,play_kick_fair_catch,play_kick_downed,play_fumbled,play_fumble_forced,play_fumble_lost,play_fumble_out_of_bounds,play_challenged,play_action_pass,play_points_lost,play_start_position_yards,play_penalty_types,play_explosive,play_offensive_personnel,play_defensive_personnel,play_turnover_type,play_offense_penalty_accepted,play_defense_penalty_accepted,play_offense_flagged,play_defense_flagged,play_tackle_success,play_lateral_success,play_yards_gained,play_epoch_uuid,play_offense_players_left,play_offense_players_right,play_snap_y,play_down_negated,play_point_of_attack_y,play_point_of_attack_dy,play_pocket_front_x,play_pocket_back_x,play_pocket_left_y,play_pocket_right_y,play_qb_exit_pocket_x,play_qb_exit_pocket_y,play_qb_exit_pocket_clock,play_run_gap,play_qb_dropback_depth,play_run_behind_1,play_run_behind_2,play_run_at,play_receiver_screen_pass,play_derived_pressure_gaps,play_pass_air_yards_to_the_sticks,play_pass_within_pocket,play_designed_pass,play_qb_rush,play_pass_thrownaway,play_formation_into_boundary,play_blitz,play_simulated_pressure,play_drop_eight,play_pass_comp_prob,play_catch_prob_with_placement,play_catch_prob_without_placement,play_initial_formation_run_strength,play_initial_formation_pass_strength,play_initial_formation_snap_side,play_initial_formation_fib,play_formation_run_strength,play_formation_pass_strength,play_formation_fib,play_pass_location,play_initial_formation,play_formation,play_punt_snap_time,play_punt_operation_time,play_punt_hang_time,play_net_punt_yards,play_gross_punt_yards,play_punt_roll_yards,play_punt_air_yards,play_punt_return_yards,play_punt_block_point_x,play_punt_block_point_y,play_punt_outcome,play_kickoff_x,play_kickoff_y,play_kickoff_land_x,play_kickoff_land_y,play_kickoff_outcome,play_kick_hang_time,play_kickoff_return_yards,play_kickoff_return_chunk,play_kickoff_return_explosive,play_fg_snap_time,play_fg_operation_time,play_fg_attempted,play_fg_made,play_fg_kick_blocked,play_fg_length,play_xp_snap_time,play_xp_operation_time,play_xp_attempted,play_xp_made,play_xp_kick_blocked,play_motion_type,play_havoc,play_qb_scramble,play_contested_catch_attempt,play_pass_made,play_yards_after_contact,play_target_separation,play_pass_placement_displacement,play_tackle_types,play_catch_separation,play_handoff_received
Michigan Wolverines,Colorado State Rams,2022/2023,Week 1,884f6cf2-001f-44c5-8c76-ad2213f9eac1,1501304,884f6cf2-001f-44c5-8c76-ad2213f9eac1,1,1,1,900000,TRUE,2,6,1001467,1001137,TRUE,NA,NA,65.04,NA,0,0,3,3,0,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,0,Kickoff,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,{},NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.04,31.26,0.22,26.84,Touch-Back,2.40554,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{},NA,NA
Michigan Wolverines,Colorado State Rams,2022/2023,Week 1,cfb0895e-02d4-4332-8522-326cd2bfa97b,1501304,884f6cf2-001f-44c5-8c76-ad2213f9eac1,2,2,1,900000,TRUE,7,57,1001467,1001137,TRUE,1,10,24.89,left,0,0,3,3,6,"{7.557342269113626,4.363070666026076,15.508210269673526,7.902621442493128,9.297036251996737}","{4.967656780649357,4.407705695720466}",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,4.04,0,Rush,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,8.91,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,-3.556666667,{},FALSE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 5, ""DL"": 4, ""LB"": 2}",NA,NA,NA,FALSE,FALSE,TRUE,NA,4.04,435c3071-b245-44ad-8449-a4ba711da867,2,2,23.11,FALSE,23.85959511,0.749595109,24.89,14.89,20.88437285,27.37707081,NA,NA,NA,Right A Gap,NA,1005617,1027923,1008315,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,L,X,R,L,X,NA,Doubles Wing Right H on,Doubles Wing Right H on,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jet,NA,FALSE,NA,NA,2.92,NA,NA,"{""Assisted - Success"",""Assisted - Success"",""Solo assisted - Missed""}",NA,NA
Michigan Wolverines,Colorado State Rams,2022/2023,Week 1,d4fdbd26-472f-45ed-9616-66b73bb1d0c4,1501304,884f6cf2-001f-44c5-8c76-ad2213f9eac1,3,3,1,866000,TRUE,58,108,1001467,1001137,TRUE,2,5.96,28.93,left,0,0,3,3,5,"{4.566962185272452,10.361610462480137,14.781101887194353,5.303315582135518,4.005065752028258}","{4.80852858947862,5.125259075241004}",TRUE,TRUE,TRUE,NA,FALSE,FALSE,0,0,Pass,FALSE,NA,FALSE,FALSE,6.04,NA,FALSE,TRUE,FALSE,FALSE,3.451284,FALSE,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-4.326666667,{},FALSE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 5, ""DL"": 4, ""LB"": 2}",NA,NA,NA,FALSE,FALSE,NA,NA,0,5c8dc998-3f6c-4e5f-9966-68484467ec55,2,3,22.34,FALSE,NA,NA,28.93,18.93,20.58164345,26.73454567,22.02187858,27.14630509,863050,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,FALSE,FALSE,NA,NA,NA,0.830512762,0.705153167,0.900548756,NA,NA,L,Y,R,R,Y,Right,Empty 3x2 Right F on Z on,Empty 3x2 Right F on Z on,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Out,NA,NA,TRUE,TRUE,NA,11.48519978,1.267484067,{},5.654395294,NA
Michigan Wolverines,Colorado State Rams,2022/2023,Week 1,89f65385-1542-4785-a830-cf3041171375,1501304,884f6cf2-001f-44c5-8c76-ad2213f9eac1,4,4,1,859000,TRUE,109,143,1001467,1001137,TRUE,3,5.96,28.94,left,0,0,3,3,6,"{1.7015965895166616,5.804983747332699,13.127711302110356,5.183783141219706,9.755505608237186}","{1.3823957805571254,1.4627808439585976}",TRUE,TRUE,TRUE,NA,FALSE,FALSE,0,0,Pass,FALSE,NA,FALSE,FALSE,4.48,NA,FALSE,TRUE,FALSE,FALSE,2.050819,FALSE,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-4.046666667,{},FALSE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 5, ""DL"": 4, ""LB"": 2}",NA,NA,NA,FALSE,FALSE,NA,NA,0,146c5501-031b-468d-ac0d-0ed444b1f6ee,1,3,22.62,FALSE,NA,NA,28.94,18.94,21.61086421,27.87068483,NA,NA,NA,NA,6.862229832,NA,NA,NA,NA,NA,-1.48,TRUE,NA,NA,FALSE,FALSE,NA,TRUE,NA,0.377569348,0.453508973,0.846954107,NA,NA,NA,NA,R,R,Y,In,NA,Trey Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,1.122874302,1.531254861,{},2.369794588,NA
Michigan Wolverines,Colorado State Rams,2022/2023,Week 1,47f1bf06-23c6-495b-83ac-70d041e3052d,1501304,884f6cf2-001f-44c5-8c76-ad2213f9eac1,5,5,1,855000,TRUE,144,155,1001467,1001137,TRUE,4,5.96,28.96,left,0,0,3,3,0,{},{},TRUE,FALSE,TRUE,NA,FALSE,FALSE,50.53,0,Punt,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,-0.4,NA,NA,50.93,0,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,-4.006666667,{},NA,NA,NA,Turnover from Punt,NA,NA,FALSE,FALSE,TRUE,NA,50.53,NA,NA,NA,22.66,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.890837,2.126629,4.77011,50.93,50.53,NA,50.53,-0.4,10.58,0.19,Return,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{},NA,NA
Colorado State Rams,Michigan Wolverines,2022/2023,Week 1,54839b1f-406c-4ab9-afcc-395389b17ab1,1501304,54839b1f-406c-4ab9-afcc-395389b17ab1,6,1,1,844000,TRUE,158,214,1001137,1001467,FALSE,1,10,20.11,right,0,0,3,3,4,"{7.870878985313482,13.964420572726468,10.16622542506046,7.9250796085902095}","{4.8615331354028655,5.76057843779769}",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,4.94,0,Rush,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,10.03,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,6.956666667,{},FALSE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 4, ""DL"": 4, ""LB"": 3}",NA,NA,NA,FALSE,FALSE,TRUE,NA,4.94,01c4a204-23f8-47bc-a8cb-33bce190fc9c,3,2,33.62333333,FALSE,20.23185389,-13.39147944,20.11,10.11,30.10779377,37.03191061,NA,NA,NA,Left Open C Gap,NA,1020070,NA,1027930,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,R,Y,L,L,Y,NA,Empty 3x2 Left,Empty 3x2 Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jet,NA,FALSE,NA,NA,0.55,NA,NA,"{""Assisted - Success"",""Assisted - Missed"",""Solo assisted - Success""}",NA,NA
Colorado State Rams,Michigan Wolverines,2022/2023,Week 1,f7c668e1-78b3-4194-b52d-c2e540d2395a,1501304,54839b1f-406c-4ab9-afcc-395389b17ab1,7,2,1,819000,TRUE,215,264,1001137,1001467,FALSE,2,5.06,25.05,left,0,0,3,3,6,"{1.8620991116566898,12.752252439794674,11.669474859718434,7.592688815944584}","{5.068109662641987,4.035657892477914}",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,8.01,0,Pass,FALSE,NA,FALSE,FALSE,-3.59,11.6,TRUE,FALSE,FALSE,FALSE,1.49609,FALSE,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-6.923333333,{},FALSE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 4, ""DL"": 4, ""LB"": 3}",NA,NA,NA,FALSE,FALSE,FALSE,NA,8.01,88126dde-6001-4aa2-a331-6c4ccdb14c8b,1,3,19.74333333,FALSE,NA,NA,25.05,15.05,17.00365028,23.63202501,NA,NA,NA,NA,5.365540635,NA,NA,NA,TRUE,NA,-8.65,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,0.914546073,0.967936158,0.944032013,NA,NA,L,O,R,R,Y,In,Deuce Right,Trey Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Over,NA,NA,TRUE,TRUE,NA,9.718125417,0.235436318,"{""Solo - Missed""}",7.499857643,NA
Colorado State Rams,Michigan Wolverines,2022/2023,Week 1,7406b767-22d1-4422-b8c2-59929f6ff468,1501304,54839b1f-406c-4ab9-afcc-395389b17ab1,8,3,1,793000,TRUE,265,296,1001137,1001467,FALSE,1,10,33.06,right,0,0,3,3,5,"{7.499411943687221,8.936213331798058,15.69905738394386,6.734952559647269}","{5.212035381282703,5.335379731325801}",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,8.98,0,Pass,FALSE,NA,FALSE,FALSE,5.27,3.71,TRUE,FALSE,FALSE,FALSE,1.835406,FALSE,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6.976666667,{},FALSE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 4, ""DL"": 4, ""LB"": 3}",NA,NA,NA,FALSE,FALSE,TRUE,NA,8.98,701af167-26b8-4ead-8cd1-5b3c9897e2d7,2,2,33.64333333,FALSE,NA,NA,33.06,23.06,29.88566563,36.4655781,NA,NA,NA,NA,6.187885757,NA,NA,NA,NA,NA,-4.73,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,0.840237081,0.944004715,0.89402318,NA,NA,R,O,L,L,O,In,Deuce Left H on Z on,Deuce Left H on Z on,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flip,NA,NA,TRUE,TRUE,1.9,5.108102135,0.261711941,"{""Solo - Success""}",2.959323494,NA
Colorado State Rams,Michigan Wolverines,2022/2023,Week 1,8e0d6b54-b5c0-4401-9350-e4bc99fc95df,1501304,54839b1f-406c-4ab9-afcc-395389b17ab1,9,4,1,763000,TRUE,297,341,1001137,1001467,FALSE,2,1.02,42.04,right,0,0,3,3,7,"{1.4860316140192111,9.330936084763884,10.250563094530833,1.6804871207563536}","{4.452352645384067,1.6987469221437692}",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3.04,0,Rush,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,7.98,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,7.046666667,{},FALSE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 4, ""DL"": 4, ""LB"": 3}",NA,NA,NA,FALSE,FALSE,TRUE,NA,3.04,ae048df7-61a0-499a-86b7-c9879a3d6ddf,3,1,33.71333333,FALSE,35.64946199,1.936128659,42.04,32.04,30.19018853,36.86644447,NA,NA,NA,Right B Gap,NA,1020078,1021620,1027954,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,R,O,L,L,Y,NA,Deuce Left Z on,Trey Left Z on,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Over,NA,FALSE,NA,NA,1.23,NA,NA,"{""Assisted - Success"",""Solo assisted - Success""}",NA,NA
Colorado State Rams,Michigan Wolverines,2022/2023,Week 1,8a46a79d-05eb-4474-b77c-3c7ce21da78a,1501304,54839b1f-406c-4ab9-afcc-395389b17ab1,10,5,1,745000,TRUE,342,382,1001137,1001467,FALSE,1,10,45.08,right,0,0,3,3,6,"{7.059382038509938,12.238385151420154,10.530980486748192,1.8632822085806708}","{4.379996498658009,4.914140202309149}",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-1.01,0,Pass,FALSE,NA,FALSE,FALSE,-5.59,4.58,TRUE,FALSE,FALSE,FALSE,1.532565,FALSE,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,7.026666667,{},FALSE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 4, ""DL"": 4, ""LB"": 3}",NA,NA,NA,FALSE,FALSE,TRUE,NA,-1.01,8785feda-69fa-4fc9-9df9-c87e29d00dc6,3,1,33.69333333,FALSE,NA,NA,45.08,35.08,29.50609765,36.86422173,NA,NA,NA,NA,6.140801611,NA,NA,NA,TRUE,NA,-15.59,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,0.937904477,0.965161562,0.937810004,NA,NA,R,O,L,L,Y,In,Deuce Left,Trey Left H on,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Over,NA,NA,TRUE,TRUE,2.46,4.346570906,0.109421844,"{""Solo - Success""}",2.879859308,NA
